电影名称：肖申克的救赎   评分：9.7 
电影详情链接: https://movie.douban.com/subject/1862151/
电影名称：雨中曲   评分：9.1 
电影详情链接: https://movie.douban.com/subject/1293460/
电影名称：2001太空漫游   评分：8.9 
电影详情链接: https://movie.douban.com/subject/1292226/
电影名称：海街日记   评分：8.8 
电影详情链接: https://movie.douban.com/subject/25895901/
电影名称：上帝之城   评分：9.0 
电影详情链接: https://movie.douban.com/subject/1292208/
电影名称：心迷宫   评分：8.7 
电影详情链接: https://movie.douban.com/subject/25917973/
电影名称：风之谷   评分：8.9 
电影详情链接: https://movie.douban.com/subject/1291585/
电影名称：英雄本色   评分：8.6 
电影详情链接: https://movie.douban.com/subject/1297574/
电影名称：记忆碎片   评分：8.7 
电影详情链接: https://movie.douban.com/subject/1304447/
电影名称：纵横四海   评分：8.8 
电影详情链接: https://movie.douban.com/subject/1295409/
电影名称：无敌破坏王   评分：8.7 
电影详情链接: https://movie.douban.com/subject/6534248/
电影名称：恐怖游轮   评分：8.5 
电影详情链接: https://movie.douban.com/subject/3011051/
电影名称：卢旺达饭店   评分：8.9 
电影详情链接: https://movie.douban.com/subject/1291822/
电影名称：芙蓉镇   评分：9.3 
电影详情链接: https://movie.douban.com/subject/1297880/
电影名称：东京教父   评分：9.0 
电影详情链接: https://movie.douban.com/subject/1310177/
电影名称：牯岭街少年杀人事件   评分：8.9 
电影详情链接: https://movie.douban.com/subject/1292329/
电影名称：小偷家族   评分：8.7 
电影详情链接: https://movie.douban.com/subject/27622447/
电影名称：魔女宅急便   评分：8.7 
电影详情链接: https://movie.douban.com/subject/1307811/
电影名称：冰川时代   评分：8.7 
电影详情链接: https://movie.douban.com/subject/1291578/
电影名称：忠犬八公物语   评分：9.2 
电影详情链接: https://movie.douban.com/subject/1959195/
电影名称：岁月神偷   评分：8.7 
电影详情链接: https://movie.douban.com/subject/3792799/
电影名称：遗愿清单   评分：8.7 
电影详情链接: https://movie.douban.com/subject/1867345/
电影名称：大佛普拉斯   评分：8.7 
电影详情链接: https://movie.douban.com/subject/27059130/
电影名称：荒蛮故事   评分：8.7 
电影详情链接: https://movie.douban.com/subject/24750126/
电影名称：白日梦想家   评分：8.6 
电影详情链接: https://movie.douban.com/subject/2133323/
电影名称：源代码   评分：8.6 
电影详情链接: https://movie.douban.com/subject/3075287/
电影名称：花束般的恋爱   评分：8.6 
电影详情链接: https://movie.douban.com/subject/34874432/
电影名称：爱乐之城   评分：8.4 
电影详情链接: https://movie.douban.com/subject/25934014/
电影名称：疯狂的麦克斯4：狂暴之路   评分：8.7 
电影详情链接: https://movie.douban.com/subject/3592854/
电影名称：可可西里   评分：8.9 
电影详情链接: https://movie.douban.com/subject/1308857/
电影名称：你看起来好像很好吃   评分：8.9 
电影详情链接: https://movie.douban.com/subject/4848115/
电影名称：波西米亚狂想曲   评分：8.6 
电影详情链接: https://movie.douban.com/subject/5300054/
电影名称：贫民窟的百万富翁   评分：8.6 
电影详情链接: https://movie.douban.com/subject/2209573/
电影名称：城市之光   评分：9.3 
电影详情链接: https://movie.douban.com/subject/1293908/
电影名称：爆裂鼓手   评分：8.6 
电影详情链接: https://movie.douban.com/subject/25773932/
电影名称：大红灯笼高高挂   评分：8.8 
电影详情链接: https://movie.douban.com/subject/1293323/
电影名称：哈利·波特与死亡圣器(上)   评分：8.6 
电影详情链接: https://movie.douban.com/subject/2051007/
电影名称：无耻混蛋   评分：8.7 
电影详情链接: https://movie.douban.com/subject/1438652/
电影名称：青蛇   评分：8.6 
电影详情链接: https://movie.douban.com/subject/1303394/
电影名称：终结者2：审判日   评分：8.8 
电影详情链接: https://movie.douban.com/subject/1291844/
电影名称：东邪西毒   评分：8.6 
电影详情链接: https://movie.douban.com/subject/1292328/
电影名称：黑天鹅   评分：8.6 
电影详情链接: https://movie.douban.com/subject/1978709/
电影名称：新龙门客栈   评分：8.7 
电影详情链接: https://movie.douban.com/subject/1292287/
电影名称：初恋这件小事   评分：8.5 
电影详情链接: https://movie.douban.com/subject/4739952/
电影名称：千钧一发   评分：8.8 
电影详情链接: https://movie.douban.com/subject/1300117/
电影名称：人工智能   评分：8.7 
电影详情链接: https://movie.douban.com/subject/1302827/
电影名称：崖上的波妞   评分：8.6 
电影详情链接: https://movie.douban.com/subject/1959877/
电影名称：虎口脱险   评分：8.9 
电影详情链接: https://movie.douban.com/subject/1296909/
电影名称：雨人   评分：8.7 
电影详情链接: https://movie.douban.com/subject/1291870/
电影名称：彗星来的那一夜   评分：8.6 
电影详情链接: https://movie.douban.com/subject/25807345/
电影名称：哈利·波特与凤凰社   评分：8.6 
电影详情链接: https://movie.douban.com/subject/1457217/
电影名称：罗生门   评分：8.8 
电影详情链接: https://movie.douban.com/subject/1291879/
电影名称：海边的曼彻斯特   评分：8.6 
电影详情链接: https://movie.douban.com/subject/25980443/
电影名称：火星救援   评分：8.5 
电影详情链接: https://movie.douban.com/subject/25864085/
电影名称：恋恋笔记本   评分：8.5 
电影详情链接: https://movie.douban.com/subject/1309163/
电影名称：真爱至上   评分：8.5 
电影详情链接: https://movie.douban.com/subject/1292401/
电影名称：黑客帝国2：重装上阵   评分：8.7 
电影详情链接: https://movie.douban.com/subject/1304141/
电影名称：冰雪奇缘   评分：8.5 
电影详情链接: https://movie.douban.com/subject/4202982/
电影名称：步履不停   评分：8.8 
电影详情链接: https://movie.douban.com/subject/2222996/
电影名称：千年女优   评分：8.8 
电影详情链接: https://movie.douban.com/subject/1307394/
电影名称：奇迹男孩   评分：8.6 
电影详情链接: https://movie.douban.com/subject/26787574/
电影名称：蜘蛛侠：平行宇宙   评分：8.6 
电影详情链接: https://movie.douban.com/subject/26374197/
电影名称：谍影重重2   评分：8.7 
电影详情链接: https://movie.douban.com/subject/1308767/
电影名称：战争之王   评分：8.7 
电影详情链接: https://movie.douban.com/subject/1419936/
电影名称：攻壳机动队   评分：9.0 
电影详情链接: https://movie.douban.com/subject/1291936/
电影名称：血钻   评分：8.7 
电影详情链接: https://movie.douban.com/subject/1428175/
电影名称：小姐   评分：8.5 
电影详情链接: https://movie.douban.com/subject/25977027/
电影名称：血观音   评分：8.6 
电影详情链接: https://movie.douban.com/subject/27113517/
电影名称：隐藏人物   评分：8.9 
电影详情链接: https://movie.douban.com/subject/26615208/
电影名称：魂断蓝桥   评分：8.8 
电影详情链接: https://movie.douban.com/subject/1293964/
电影名称：房间   评分：8.7 
电影详情链接: https://movie.douban.com/subject/25724855/
